text,transakce,velikost_m2,dispozice,mesto,cena
Prodej o velikosti 60 m² v Praha 2 za 15000000 korun,prodej,60,,Praha 2,15000000
Prodej o velikosti 60 m² 1+kk za 10000000 korun,prodej,60,1+kk,,10000000
Prodej o velikosti 60 m² 2+kk v Praha 2 za 11000000 korun,prodej,60,2+kk,Praha 2,11000000
Pronájem o velikosti 44 m² 2+1 v Praha 2 za 18988 korun,pronájem,44,2+1,Praha 2,18988
Prodej o velikosti 60 m² 2+kk v Praha 3 za 8000000 korun,prodej,60,2+kk,Praha 3,8000000
Prodej o velikosti 70 m² 1+kk v Praha 4 za 7000000 korun,prodej,70,1+kk,Praha 4,7000000
Prodej o velikosti 70 m² 1+kk v Brno za 8000000 korun,prodej,70,1+kk,Brno,8000000
Prodej o velikosti 50 m² 1+kk v Praha 2,prodej,50,1+kk,Praha 2,
Prodej o velikosti 44 m² 3+kk v Praha 2 za 11000000 korun,prodej,44,3+kk,Praha 2,11000000
Prodej o velikosti 30 m² 2+kk za 12000000 korun,prodej,30,2+kk,,12000000
Pronájem o velikosti 60 m² 2+kk za 30372 korun,pronájem,60,2+kk,,30372
o velikosti 44 m² 2+1 v Praha 2 za 14795 korun,,44,2+1,Praha 2,14795
Prodej o velikosti 44 m² 1+kk v Praha 1 za 11000000 korun,prodej,44,1+kk,Praha 1,11000000
Pronájem o velikosti 30 m² 1+kk za 45300 korun,pronájem,30,1+kk,,45300
Prodej 1+kk v Praha 4 za 12000000 korun,prodej,,1+kk,Praha 4,12000000
Prodej o velikosti 70 m² 3+kk v Praha 4 za 8000000 korun,prodej,70,3+kk,Praha 4,8000000
Prodej o velikosti 50 m² 1+kk v Praha 2 za 15000000 korun,prodej,50,1+kk,Praha 2,15000000
Prodej o velikosti 50 m² 2+1 v Praha 1,prodej,50,2+1,Praha 1,
Pronájem 1+kk v Brno za 28015 korun,pronájem,,1+kk,Brno,28015
Prodej o velikosti 44 m² 3+kk v Ostrava za 14000000 korun,prodej,44,3+kk,Ostrava,14000000
Pronájem o velikosti 50 m² 2+1 v Brno,pronájem,50,2+1,Brno,
Pronájem o velikosti 60 m² 3+kk v Brno za 49742 korun,pronájem,60,3+kk,Brno,49742
Prodej o velikosti 44 m² 2+kk v Ostrava za 13000000 korun,prodej,44,2+kk,Ostrava,13000000
Prodej o velikosti 44 m² 2+1 v Praha 1 za 15000000 korun,prodej,44,2+1,Praha 1,15000000
Prodej o velikosti 60 m² 2+kk v Praha 1 za 6000000 korun,prodej,60,2+kk,Praha 1,6000000
Pronájem o velikosti 44 m² 3+kk v Praha 4 za 20639 korun,pronájem,44,3+kk,Praha 4,20639
Prodej o velikosti 70 m² 2+1 v Ostrava za 6000000 korun,prodej,70,2+1,Ostrava,6000000
Pronájem o velikosti 50 m² v Praha 2 za 42663 korun,pronájem,50,,Praha 2,42663
Prodej o velikosti 50 m² 1+kk v Praha 2 za 9000000 korun,prodej,50,1+kk,Praha 2,9000000
o velikosti 44 m² 2+1 v Brno,,44,2+1,Brno,
Pronájem o velikosti 50 m² 2+1 v Praha 4 za 16403 korun,pronájem,50,2+1,Praha 4,16403
Pronájem o velikosti 50 m² 2+1 v Praha 4 za 47552 korun,pronájem,50,2+1,Praha 4,47552
Pronájem o velikosti 70 m² 1+kk v Praha 3 za 44788 korun,pronájem,70,1+kk,Praha 3,44788
Prodej o velikosti 44 m² 2+1 v Praha 2 za 6000000 korun,prodej,44,2+1,Praha 2,6000000
o velikosti 44 m² 2+1 v Praha 2,,44,2+1,Praha 2,
Prodej o velikosti 44 m² 3+kk v Praha 3 za 9000000 korun,prodej,44,3+kk,Praha 3,9000000
Pronájem o velikosti 60 m² v Praha 1,pronájem,60,,Praha 1,
Pronájem o velikosti 50 m² 1+kk v Praha 1 za 15916 korun,pronájem,50,1+kk,Praha 1,15916
Prodej 2+kk v Brno za 13000000 korun,prodej,,2+kk,Brno,13000000
Pronájem 3+kk v Praha 4 za 32951 korun,pronájem,,3+kk,Praha 4,32951
Pronájem 3+kk v Praha 4 za 35182 korun,pronájem,,3+kk,Praha 4,35182
Pronájem o velikosti 60 m² v Ostrava za 22550 korun,pronájem,60,,Ostrava,22550
Prodej o velikosti 44 m² 2+kk v Praha 2,prodej,44,2+kk,Praha 2,
o velikosti 50 m² 2+1 v Brno za 28199 korun,,50,2+1,Brno,28199
Prodej 3+kk za 8000000 korun,prodej,,3+kk,,8000000
o velikosti 30 m² 2+kk v Praha 3 za 43323 korun,,30,2+kk,Praha 3,43323
Prodej 3+kk v Praha 1 za 8000000 korun,prodej,,3+kk,Praha 1,8000000
Prodej o velikosti 30 m² 3+kk v Praha 3 za 7000000 korun,prodej,30,3+kk,Praha 3,7000000
Pronájem o velikosti 44 m² 2+1 v Brno za 20684 korun,pronájem,44,2+1,Brno,20684
Pronájem o velikosti 70 m² 3+kk v Brno za 33222 korun,pronájem,70,3+kk,Brno,33222
Pronájem o velikosti 30 m² 2+kk,pronájem,30,2+kk,,
Pronájem o velikosti 44 m² 2+kk v Praha 1 za 21668 korun,pronájem,44,2+kk,Praha 1,21668
o velikosti 50 m² 3+kk za 42852 korun,,50,3+kk,,42852
Pronájem o velikosti 50 m² 2+kk za 35749 korun,pronájem,50,2+kk,,35749
Pronájem o velikosti 60 m² 1+kk v Praha 2 za 32570 korun,pronájem,60,1+kk,Praha 2,32570
o velikosti 44 m² 2+1 v Brno za 10000000 korun,,44,2+1,Brno,10000000
Pronájem 3+kk v Praha 2 za 25506 korun,pronájem,,3+kk,Praha 2,25506
Pronájem o velikosti 60 m² 3+kk v Praha 1,pronájem,60,3+kk,Praha 1,
Prodej 1+kk v Praha 1,prodej,,1+kk,Praha 1,
Pronájem o velikosti 44 m² 3+kk v Ostrava za 47156 korun,pronájem,44,3+kk,Ostrava,47156
Prodej o velikosti 50 m² 3+kk v Ostrava za 10000000 korun,prodej,50,3+kk,Ostrava,10000000
Prodej o velikosti 30 m² 3+kk v Praha 1 za 14000000 korun,prodej,30,3+kk,Praha 1,14000000
Prodej o velikosti 60 m² 3+kk v Ostrava za 14000000 korun,prodej,60,3+kk,Ostrava,14000000
Prodej 2+kk v Praha 3 za 9000000 korun,prodej,,2+kk,Praha 3,9000000
Pronájem o velikosti 60 m² 2+1 v Praha 1 za 37174 korun,pronájem,60,2+1,Praha 1,37174
Prodej o velikosti 30 m² 2+1 za 6000000 korun,prodej,30,2+1,,6000000
Pronájem o velikosti 60 m² 1+kk v Ostrava za 37618 korun,pronájem,60,1+kk,Ostrava,37618
Pronájem o velikosti 70 m² 2+1 v Praha 1 za 31897 korun,pronájem,70,2+1,Praha 1,31897
Pronájem o velikosti 50 m² v Praha 1 za 9452 korun,pronájem,50,,Praha 1,9452
Prodej o velikosti 50 m² 1+kk v Praha 4 za 7000000 korun,prodej,50,1+kk,Praha 4,7000000
Prodej o velikosti 60 m² 2+kk v Praha 1,prodej,60,2+kk,Praha 1,
Pronájem v Ostrava,pronájem,,,Ostrava,
Prodej o velikosti 50 m² 2+1 v Praha 1 za 10000000 korun,prodej,50,2+1,Praha 1,10000000
Pronájem o velikosti 50 m² 1+kk v Praha 3 za 14271 korun,pronájem,50,1+kk,Praha 3,14271
Pronájem o velikosti 70 m² 1+kk v Brno za 45806 korun,pronájem,70,1+kk,Brno,45806
Prodej o velikosti 60 m² 2+kk v Ostrava za 10000000 korun,prodej,60,2+kk,Ostrava,10000000
Pronájem o velikosti 30 m² 3+kk v Praha 2,pronájem,30,3+kk,Praha 2,
Prodej o velikosti 44 m² 3+kk v Brno za 8000000 korun,prodej,44,3+kk,Brno,8000000
Pronájem o velikosti 60 m² v Praha 4 za 49156 korun,pronájem,60,,Praha 4,49156
Pronájem o velikosti 50 m² 3+kk v Praha 2 za 37738 korun,pronájem,50,3+kk,Praha 2,37738
Prodej o velikosti 44 m² v Praha 3,prodej,44,,Praha 3,
Pronájem o velikosti 70 m² 2+1 v Praha 4 za 8646 korun,pronájem,70,2+1,Praha 4,8646
Pronájem o velikosti 70 m² 1+kk v Brno,pronájem,70,1+kk,Brno,
o velikosti 44 m² v Praha 3 za 9000000 korun,,44,,Praha 3,9000000
o velikosti 60 m² 1+kk v Praha 1 za 7000000 korun,,60,1+kk,Praha 1,7000000
Pronájem o velikosti 50 m² v Brno za 43129 korun,pronájem,50,,Brno,43129
Prodej o velikosti 50 m² 2+kk za 7000000 korun,prodej,50,2+kk,,7000000
Prodej o velikosti 60 m² 2+kk v Praha 2 za 6000000 korun,prodej,60,2+kk,Praha 2,6000000
Prodej o velikosti 70 m² 2+kk za 15000000 korun,prodej,70,2+kk,,15000000
Pronájem o velikosti 70 m² 2+kk v Praha 4 za 11389 korun,pronájem,70,2+kk,Praha 4,11389
Pronájem o velikosti 70 m² 2+1 v Praha 2 za 25997 korun,pronájem,70,2+1,Praha 2,25997
Pronájem o velikosti 30 m² 2+1 za 25899 korun,pronájem,30,2+1,,25899
Pronájem o velikosti 50 m² 1+kk v Brno za 40566 korun,pronájem,50,1+kk,Brno,40566
Pronájem o velikosti 44 m² 2+kk v Praha 4 za 26059 korun,pronájem,44,2+kk,Praha 4,26059
Prodej o velikosti 30 m² 1+kk za 8000000 korun,prodej,30,1+kk,,8000000
Pronájem o velikosti 70 m² 1+kk v Praha 4,pronájem,70,1+kk,Praha 4,
2+kk v Praha 2 za 7000000 korun,,,2+kk,Praha 2,7000000
Pronájem o velikosti 30 m² 2+1 v Ostrava za 35296 korun,pronájem,30,2+1,Ostrava,35296
Pronájem o velikosti 50 m² 1+kk v Praha 1 za 42790 korun,pronájem,50,1+kk,Praha 1,42790
Prodej o velikosti 70 m² 2+1 v Praha 2 za 12000000 korun,prodej,70,2+1,Praha 2,12000000
